id,name,street,zip_code,city
GLS PaketShop-ID: 2760911420,hertha kiosk,50969,50969,Köln
GLS PaketShop-ID: 2760912075,kiosk am gottesweg,50939,50939,Köln
GLS PaketShop-ID: 2760909666,köln kiosk,50937,50937,Köln
GLS PaketShop-ID: 2760913273,sülzer lotto am veedel,50937,50937,Köln
GLS PaketShop-ID: 2760913021,weisshaus porzellan,50937,50937,Köln
GLS PaketShop-ID: 2760907381,früchtekorb izci,50937,50937,Köln
GLS PaketShop-ID: 2760910735,kamellebüdchen,50678,50678,Köln
GLS PaketShop-ID: 2760903056,pantaleons waschsalon,50676,50676,Köln
GLS PaketShop-ID: 2760910528,linden kiosk,50674,50674,Köln
GLS PaketShop-ID: 2760912627,kiosk 1,50354,50354,Hürth
GLS PaketShop-ID: 2760912295,oki doki getränkemarkt,50679,50679,Köln
GLS PaketShop-ID: 2760904288,lk handy,50354,50354,Hürth
GLS PaketShop-ID: 2760909550,wir lieben technik meller,51105,51105,Köln
GLS PaketShop-ID: 2760908768,kiosk em hätze von kölle,50667,50667,Köln
GLS PaketShop-ID: 2760907433,lotto - presse - schreibwaren dalgic,50996,50996,Köln
GLS PaketShop-ID: 2760910287,oxxo vape,50354,50354,Hürth
GLS PaketShop-ID: 2760909573,kiosk linden,50823,50823,Köln
GLS PaketShop-ID: 2760905497,super kiosk,50679,50679,Köln
GLS PaketShop-ID: 2760238220,kiosk + waschsalon,50933,50933,Köln
GLS PaketShop-ID: 2760908793,kiosk machabäer,50668,50668,Köln
GLS PaketShop-ID: 2760911782,casa flora,50354,50354,Hürth
GLS PaketShop-ID: 2760906115,textilpflege exclusive,50670,50670,Köln
GLS PaketShop-ID: 2760911430,kiosk route 32,50996,50996,Köln
GLS PaketShop-ID: 2760912498,kiosk bei bobby,50670,50670,Köln
GLS PaketShop-ID: 2760909232,kiosk komar,51149,51149,Köln
GLS PaketShop-ID: 2760187741,inter-c@ll,51105,51105,Köln
GLS PaketShop-ID: 2760182387,schuh &amp; schlüsseldienst,51105,51105,Köln
